State,Action,Value
"((-1, 0, -1), (0, 1, 0), (-1, 1, 1))","(1, 0)",-0.25839128389443694
"((-1, 0, 0), (0, 0, 0), (-1, 1, 1))","(1, 1)",-0.4949211383581632
"((-1, 0, 0), (0, 0, 0), (0, 0, 1))","(2, 1)",0.2835145760856721
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 2)",0.3281110259079979
"((-1, 0, -1), (1, 1, 0), (-1, 1, 1))","(0, 1)",0.68618940391
"((-1, 0, 0), (0, 1, 0), (-1, 1, 1))","(0, 2)",0.0969029463519
"((-1, 0, 0), (0, 0, 0), (0, 1, 1))","(2, 0)",0.395087709644123
"((0, 0, 0), (0, 0, 0), (0, 0, 1))","(0, 0)",-0.1916538332725357
"((-1, 0, 0), (1, 0, 1), (-1, -1, 1))","(1, 1)",0.34390000000000004
"((-1, 0, 0), (1, 0, 0), (0, -1, 1))","(1, 2)",0.025200000000000004
"((-1, 0, 0), (1, 0, 0), (0, 0, 0))","(2, 2)",0.11778354293499646
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(1, 0)",0.33391747970684066
"((-1, 0, 0), (1, 0, 1), (0, -1, 1))","(2, 0)",-0.46855900000000006
"((-1, 0, 0), (1, 0, 0), (0, 0, 1))","(2, 1)",0.11209945233432732
"((0, 0, 0), (1, 0, 0), (0, 0, 0))","(0, 0)",0.33270527577337766
"((1, 0, 0), (1, -1, -1), (0, 1, -1))","(0, 1)",-0.34390000000000004
"((1, 0, 0), (0, -1, -1), (0, 1, 0))","(1, 0)",0.40500000020442656
"((0, 0, 0), (0, -1, 0), (0, 1, 0))","(0, 0)",0.36463561190887844
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 1)",0.3213980362655784
"((1, 1, 0), (1, -1, -1), (0, 1, -1))","(0, 2)",0.7458134171671
"((1, 0, 0), (1, -1, -1), (0, 1, 0))","(2, 2)",-0.5110218559381916
"((1, 0, 0), (0, -1, 0), (0, 1, 0))","(1, 2)",0.41758269365996364
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(1, 1)",0.3645267682224939
"((-1, 0, 1), (1, -1, -1), (1, -1, 1))","(0, 1)",0.4999999999999998
"((-1, 0, 0), (1, 0, -1), (1, -1, 1))","(0, 2)",0.5035706119480268
"((-1, 0, 0), (1, 0, 0), (0, -1, 1))","(2, 0)",0.16106928811900256
"((-1, 0, 1), (1, 0, -1), (1, -1, 1))","(1, 1)",0.4860935805278153
"((-1, 0, 0), (1, 0, 0), (1, -1, 1))","(1, 2)",0.2309688022775618
