State,Action,Value
"((-1, 0, 1), (1, -1, 0), (0, 0, 0))","(2, 0)",-0.19
"((0, 0, 1), (0, -1, 0), (0, 0, 0))","(1, 0)",0.06458402719401797
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(0, 2)",0.3279448888968196
"((-1, 0, 1), (1, -1, 0), (1, 0, 0))","(2, 2)",0.94185026299696
"((0, 0, 1), (1, -1, 0), (0, 0, 0))","(0, 0)",0.10357197883966301
"((0, 0, 1), (0, 0, 0), (0, 0, 0))","(1, 1)",0.3630130092815863
"((-1, 0, 1), (1, -1, -1), (1, -1, 1))","(0, 1)",0.4999999999999998
"((-1, 0, 0), (1, -1, 0), (1, -1, 1))","(0, 2)",-0.9486885058115995
"((-1, 0, 0), (1, -1, 0), (0, 0, 1))","(2, 0)",0.06020226141830064
"((-1, 0, 0), (0, 0, 0), (0, 0, 1))","(1, 0)",0.013122196001984894
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 2)",0.32661742736465077
"((-1, 0, 1), (1, -1, 0), (1, -1, 1))","(1, 2)",0.17195000000000002
"((-1, 0, 0), (1, -1, 0), (1, 0, 1))","(2, 1)",0.45000000000000007
"((-1, 0, 0), (1, 0, 0), (0, 0, 1))","(1, 1)",0.0014620500000000003
"((0, 0, 0), (0, 0, 0), (0, 0, 1))","(0, 0)",-0.32341431039316326
"((-1, 1, 0), (-1, 0, 1), (0, 0, 0))","(2, 1)",-0.078732
"((0, 0, 0), (-1, 0, 1), (0, 0, 0))","(0, 1)",0.006847781672215753
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(1, 2)",0.30497403261010697
"((-1, 1, 0), (-1, 0, 1), (0, 1, 0))","(2, 0)",0.40951000000000004
"((0, 1, 0), (-1, 0, 1), (0, 0, 0))","(0, 0)",0.025248113100000004
"((0, 0, 0), (0, 0, 1), (0, 0, 0))","(1, 0)",0.029102465547696844
"((1, 0, -1), (0, 0, 1), (-1, -1, 1))","(1, 1)",0.19
"((0, 0, -1), (0, 0, 1), (0, -1, 1))","(0, 0)",0.011813094339526757
"((0, 0, 0), (0, 0, 0), (0, -1, 1))","(1, 2)",0.0345437436189225
"((1, 0, -1), (0, 0, 1), (0, -1, 1))","(2, 0)",-0.1
"((0, 0, 0), (0, 0, 1), (0, -1, 1))","(0, 2)",0.009953956350000001
"((0, 0, 0), (0, 0, 0), (0, 0, 1))","(2, 1)",0.22451333589024045
"((1, 0, 0), (0, 0, -1), (0, 1, -1))","(2, 0)",-0.09
"((0, 0, 0), (0, 0, 0), (0, 1, -1))","(0, 0)",0.005235578761905324
"((0, 0, 0), (0, 0, 0), (0, 0, 0))","(2, 1)",0.3260865587494348
"((1, 0, 0), (0, 0, -1), (1, 1, -1))","(0, 2)",0.6513215599000001
"((1, 0, 0), (0, 0, 0), (0, 1, -1))","(1, 2)",0.06591627481383452
"((0, 0, 0), (0, 0, 0), (0, 1, 0))","(2, 2)",0.060130119992912553
